input,target
"hygrometricus [WORD_GAP] renamed in the 2000s once phylogenetic analyses revealed [WORD_GAP] were unique Astraeus [WORD_GAP] , including [WORD_GAP]","hygrometricus were renamed in the 2000s once phylogenetic analyses revealed they were unique Astraeus species , including A."
Research has revealed the presence of [WORD_GAP] [WORD_GAP] chemical compounds [WORD_GAP] the fruit bodies [WORD_GAP],Research has revealed the presence of several bioactive chemical compounds in the fruit bodies .
North American [WORD_GAP] guides typically [WORD_GAP] A.,North American field guides typically rate A.
According to the [LINE_GAP] Andrew P.,According to the American botanist Andrew P.
Accordingly [WORD_GAP] Morgan set Persoon 's [WORD_GAP] hygrometricum as the type species of his new genus Astraeus in 1889 .,"Accordingly , Morgan set Persoon 's Geaster hygrometricum as the type species of his new genus Astraeus in 1889 ."
"Despite Morgan 's publication , [WORD_GAP] authorities [WORD_GAP] the following decades continued to classify the species in Geas_rum .","Despite Morgan 's publication , some authorities in the following decades continued to classify the species in Geastrum ."
The treatment of this species by certain taxonomists well illustrates the pitfalls that lie in wait for [LINE_GAP] at the shrine of ontogenic classification ...,The treatment of this species by certain taxonomists well illustrates the pitfalls that lie in wait for those who worship at the shrine of ontogenic classification ...
The only feature of those outlined in which the spec_es differs from [WORD_GAP] of Geastrum is the somewhat primitive hymenium .,The only feature of those outlined in which the species differs from others of Geastrum is the somewhat primitive hymenium .
[LINE_GAP] plant the glebal cavities are separated by tramal plates so tenuous as to be overlooked by the uncritical worker .,In the developing plant the glebal cavities are separated by tramal plates so tenuous as to be overlooked by the uncritical worker .
"This difference disappears as maturity is reached , when pl_nts resemble closely [WORD_GAP] fructification of any other member of the genus .","This difference disappears as maturity is reached , when plants resemble closely the fructification of any other member of the genus ."
"Cunningham 's [WORD_GAP] was [WORD_GAP] followed by [WORD_GAP] authorities , who largely [WORD_GAP] Astraeus a distinct genus [WORD_GAP]","Cunningham 's treatment was not followed by later authorities , who largely considered Astraeus a distinct genus ."
"According [LINE_GAP] authority MycoBank , synonyms of Astraeus hygrometricus include Lycoperdon stellatus Scop .","According to the taxonomical authority MycoBank , synonyms of Astraeus hygrometricus include Lycoperdon stellatus Scop ."
( [LINE_GAP] fibrillosum Schwein .,( 1772 ) ; Geastrum fibrillosum Schwein .
( 1822 ) ; [LINE_GAP] .,( 1822 ) ; Geastrum stellatum ( Scop .
( 1885 ) ; and [WORD_GAP] stellatus E.Fisch.,( 1885 ) ; and Astraeus stellatus E.Fisch.
"The resemblance to Geastrum species ( also known as true earthstars ) accounts [LINE_GAP] "" false earthstar "" .","The resemblance to Geastrum species ( also known as true earthstars ) accounts for the common name "" false earthstar "" ."
"The specific name is derived from the Greek words ὑγρός ( hygros ) "" wet "" and μέτρον ( metron ) "" m_asure [WORD_GAP] .","The specific name is derived from the Greek words ὑγρός ( hygros ) "" wet "" and μέτρον ( metron ) "" measure "" ."
"The German Mycological Society selected the species as their "" [WORD_GAP] of [WORD_GAP] Year [WORD_GAP] [WORD_GAP] 2005 .","The German Mycological Society selected the species as their "" Mushroom of the Year "" in 2005 ."
"Based on these results , two Asian "" hygrometricus "" populat_ons have been described as new species : A.","Based on these results , two Asian "" hygrometricus "" populations have been described as new species : A."
odoratus [LINE_GAP] with Petcharat 's A.,odoratus ( synonymous with Petcharat 's A.
thailan_icus describ_d in 2003 ) .,thailandicus described in 2003 ) .
Preliminary DNA analyses [LINE_GAP] A.,Preliminary DNA analyses suggests that the European A.
"A 2010 study iden_ified a Japan_se species , previously identified as A.","A 2010 study identified a Japanese species , previously identified as A."
hygrometricus [WORD_GAP] as genetically distinct ; it has [WORD_GAP] to be offi_ially named .,"hygrometricus , as genetically distinct ; it has yet to be officially named ."
"A form of [WORD_GAP] species found in Korea [WORD_GAP] Japan , A.","A form of the species found in Korea and Japan , A."
"koreanus , was [WORD_G_P] by V.J.","koreanus , was named by V.J."
Stanĕk in 1958 ; it was later ( 1976 ) published as a distinct species — A.,Stanĕk in 1958 ; it was later ( 1976 ) published as a distinct species — A.
koreanus — by Hanns Kreisel .,koreanus — by Hanns Kreisel .
"As pointed out by Fangfuk and colleagues , clarification of [WORD_GAP] proper name for this taxon must a_ait anal_sis of [WORD_GAP]","As pointed out by Fangfuk and colleagues , clarification of the proper name for this taxon must await analysis of A."
koreanus specimens from [LINE_GAP] in North Korea .,koreanus specimens from the type locality in North Korea .
[LINE_GAP] fruit bodies that typically start their development partially embedded in the substrate .,hygrometricus have roughly spherical fruit bodies that typically start their development partially embedded in the substrate .
"A smooth whitish mycelial [WORD_GAP] covers [WORD_GAP] fruit body , and may [WORD_GAP] partially encrusted with debris .","A smooth whitish mycelial layer covers the fruit body , and may be partially encrusted with debris ."
This simultaneously [WORD_GAP] the [WORD_GAP] body [WORD_GAP] ground [WORD_GAP] reveal a round spore case enclosed [WORD_GAP] a thin papery endoperidium .,This simultaneously pushes the fruit body above ground to reveal a round spore case enclosed in a thin papery endoperidium .
"The rays open and [WORD_GAP] in response to levels [WORD_GAP] moisture in the environment , opening [WORD_GAP] in high [WORD_GAP] , and closing when the air is dry .","The rays open and close in response to levels of moisture in the environment , opening up in high humidity , and closing when the air is dry ."
"[LINE_GAP] fruit body to disperse spores at times of optimum moisture , and reduce evaporation during dry periods .","This adaptation enables the fruit body to disperse spores at times of optimum moisture , and reduce evaporation during dry periods ."
The gleba becomes brown and [WORD_GAP] as the specimen matures .,The gleba becomes brown and powdery as the specimen matures .
[WORD_GAP] dark hairlike [WORD_GAP] ( rhizomorphs [WORD_GAP] extend from [WORD_GAP] base of the [WORD_GAP] [WORD_GAP] into the [WORD_GAP] .,Small dark hairlike threads ( rhizomorphs ) extend from the base of the fruit body into the substrate .
The [LINE_GAP] and often break off after maturity .,"The rhizomorphs are fragile , and often break off after maturity ."
The spores [WORD_GAP] dimensions are [WORD_GAP] – 11 µm ; the [WORD_GAP] are about 1 µm long .,The spores ' dimensions are 7 – 11 µm ; the warts are about 1 µm long .
The basidia are [LINE_GAP] of clusters ; individual basidia measure 11 – 15 by 18 – 24 µm .,The basidia are arranged in long strings of clusters ; individual basidia measure 11 – 15 by 18 – 24 µm .
North Amer_can sources describe [WORD_GAP],North American sources describe A.
"hygrometricus as being of either unknown edibility , or too tough to be edible .","hygrometricus as being of either unknown edibility , or too tough to be edible ."
"[WORD_GAP] , they are regularly consumed in Asia , including [WORD_GAP] and South [WORD_GAP] , where "" local people [WORD_GAP] them as delicious food "" [WORD_GAP]","However , they are regularly consumed in Asia , including Nepal and South Bengal , where "" local people consume them as delicious food "" ."
They are collected from the wild and [WORD_GAP] in the markets of India .,They are collected from the wild and sold in the markets of India .
"The study 's authors further noted that the fruit bodies after cooking have [LINE_GAP] , maillard , herbal , and oily flavor "" .","The study 's authors further noted that the fruit bodies after cooking have a "" roasted , maillard , herbal , and oily flavor "" ."
"Volatile compounds detected after cooking the mushroom samples included furfural , benzaldehyde , cyclohexenone , and furanyl [WORD_GAP] .","Volatile compounds detected after cooking the mushroom samples included furfural , benzaldehyde , cyclohexenone , and furanyl compounds ."
The regional differences [WORD_GAP] opinions on edibility are from sources published before it was kno_n that North American and Asian versions of A.,The regional differences in opinions on edibility are from sources published before it was known that North American and Asian versions of A.
"hygrometricus were not always the same ; in some cases Asian [LINE_GAP] as new species , such as A.","hygrometricus were not always the same ; in some cases Asian specimens have been identified as new species , such as A."
"hygrometricus bears a superficial resemblance to member of the [WORD_GAP] true earthstars "" Geastrum [WORD_GAP] it may be [WORD_GAP] differentiated from most by [WORD_GAP] hygroscopic [WORD_GAP] of its rays .","hygrometricus bears a superficial resemblance to member of the "" true earthstars "" Geastrum , it may be readily differentiated from most by the hygroscopic nature of its rays ."
"Unlike [WORD_GAP] , the young fruit bodi_s of [WORD_GAP]","Unlike Geastrum , the young fruit bodies of A."
